cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-color,has-ring,ring-type,habitat,season
x,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,p,d,w
f,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,w
f,o,f,e,w,w,t,p,d,u
x,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,p,d,a
f,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,p,d,u
f,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,p,d,u
f,e,f,e,w,w,t,g,d,a
f,e,f,e,w,w,t,g,d,w
x,e,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,a
x,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,u
x,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,p,d,a
x,e,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,w
f,e,f,e,w,w,t,g,d,u
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,p,d,u
x,e,f,e,w,w,t,g,d,a
f,o,f,e,w,w,t,g,d,u
f,e,f,e,w,w,t,g,d,w
f,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,w
x,o,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,u
f,o,f,e,w,w,t,g,d,a
x,e,f,e,w,w,t,p,d,w
x,e,f,e,w,w,t,p,d,a
f,o,f,e,w,w,t,g,d,a
x,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,g,d,w
x,o,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,u
x,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,a
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,a
x,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
p,n,f,e,w,w,t,p,d,u
